scenario,VISIT,Subtype,DATSCAN_CAUDATE_L,DATSCAN_CAUDATE_R,DATSCAN_PUTAMEN_L,DATSCAN_PUTAMEN_L_ANT,DATSCAN_PUTAMEN_R,DATSCAN_PUTAMEN_R_ANT,GM_VOLUME,IMAGEID,Mediane_Caudate_L,Mediane_Caudate_R,Mediane_GPI_L,Mediane_GPI_R,Mediane_Putamen_L,Mediane_Putamen_R,Mediane_RN_L,Mediane_RN_R,Mediane_SN_L,Mediane_SN_R,Mediane_STR_L,Mediane_STR_R,Moyenne_Caudate_L,Moyenne_Caudate_R,Moyenne_GPI_L,Moyenne_GPI_R,Moyenne_Putamen_L,Moyenne_Putamen_R,Moyenne_RN_L,Moyenne_RN_R,Moyenne_SN_L,Moyenne_SN_R,Moyenne_STR_L,Moyenne_STR_R
global_scores,V04,1,1.5971739130434783,1.5728260869565216,0.5910869565217391,0.9843478260869566,0.5815217391304348,0.9689130434782609,,,5.590766378811428,6.300732391221183,12.40757587977818,11.942414556230815,11.334741319928849,11.731123515537806,10.75610842023577,10.859253065926685,12.196504592895506,12.71441091809954,10.350712367466517,10.46052346910749,5.577657154628208,5.773418545722961,12.390812601361958,11.992928504943848,11.48694147382464,11.942832265581403,10.336675371442523,10.768725258963451,12.320986066545759,12.761200768607003,9.15153523853847,9.485668795449394
global_scores,V04,2,1.7987323943661973,1.8598591549295775,0.7373239436619718,1.1850704225352113,0.7901408450704226,1.262394366197183,,,2.8047011852264405,2.560832476615906,11.02207145690918,10.694181060791013,10.703507804870606,10.713058853149414,9.989939498901368,10.575261306762695,9.44246988296509,9.607753944396974,9.657980728149415,9.653182029724123,3.857493019104004,3.8187301635742186,11.219604110717773,10.631963348388672,10.69566707611084,10.686984634399415,9.485739994049073,9.976732158660889,9.849534225463866,9.887720441818239,7.9748156547546385,8.119568061828613
global_scores,V04,3,1.7639534883720929,1.7820930232558139,0.6723255813953488,1.1288372093023256,0.7413953488372093,1.1832558139534883,,,6.07048386335373,5.884022831916809,13.419275601704912,13.029034932454428,11.848120053609213,12.331464131673178,11.57235018412272,11.70859368642171,13.042051951090492,13.362194061279292,10.783037821451822,10.935431162516275,6.086641391118367,6.177006880442302,13.166142463684082,12.99574152628581,11.946659088134764,12.434992154439291,11.286052385965982,11.8156525293986,13.001303354899092,13.531130154927572,9.599282582600912,9.920509656270344
global_scores,V04,4,1.8422926829268294,1.8639024390243903,0.722048780487805,1.1896585365853658,0.766390243902439,1.2334146341463414,,,7.570941063914109,7.6496957107023755,12.586255478136467,12.310003974220969,11.349628679680102,11.607083320617676,10.847434968659371,11.15011842323072,12.319488236398408,12.573045152606387,10.580585479736328,10.584104162273984,6.910355138056206,6.674145633524114,12.585068500403201,12.282941760438861,11.452563459222967,11.70963902906938,10.80351580995502,11.172730388063373,12.478725837938711,12.781955054312041,9.622965509241277,9.774706074685762
global_scores,V04,5,1.62125,1.535,0.51375,0.92375,0.54,0.92625,,,3.07505989074707,3.678854942321777,15.07475280761719,13.22426605224609,12.31497573852539,12.71724224090576,11.10219192504883,11.96284675598145,14.0725212097168,14.1593713760376,10.90667915344238,11.03563117980957,4.206737518310547,4.66609001159668,15.45918464660645,13.03389739990234,12.51539993286133,12.90138721466064,10.72696781158447,12.03264427185059,14.15517425537109,14.50815868377686,9.342485427856445,9.789850234985352
global_scores,V04,6,1.625,1.6166666666666665,0.6633333333333333,1.0166666666666668,0.6683333333333333,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V04,7,1.53,1.6185714285714285,0.54,0.9871428571428572,0.67,1.1071428571428572,,,3.973888874053955,3.337557077407837,12.00603866577148,11.37165641784668,11.02514171600342,10.96872806549072,9.840025901794434,10.53412818908691,11.31670093536377,11.38274955749512,10.1386775970459,10.00607967376709,4.379878520965576,4.355952739715576,12.25070953369141,11.70865058898926,10.94369792938232,10.79574680328369,9.585677146911621,10.34060859680176,11.3209171295166,11.54198265075684,8.412308692932129,8.43904972076416
global_scores,V04,8,1.8933333333333333,1.29,0.8133333333333334,1.1766666666666665,0.5166666666666666,0.8033333333333333,,,6.302713394165039,6.290110111236572,7.667516708374023,7.105868339538574,7.947291374206543,5.880268573760986,8.838130950927734,8.956060409545898,9.648409843444824,9.608906745910645,7.495354652404785,6.460899353027344,5.337377071380615,6.758084774017334,6.90327787399292,6.911674022674561,6.826212406158447,4.767135143280029,8.47693157196045,8.846433639526367,9.341922760009766,9.472397804260254,6.608507633209229,5.619571685791016
global_scores,V06,1,1.5284722222222222,1.5030555555555556,0.5701388888888889,0.9501388888888889,0.5994444444444444,0.9865277777777778,760532.7894736842,436092.36842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_scores,V06,2,1.6777906976744186,1.6596511627906976,0.6563953488372093,1.0674418604651164,0.6633720930232557,1.095,785119.7,440502.9,,,,,,,,,,,,,,,,,,,,,,,,
