scenario,pair,n_common,ari,stable_rate
global_scores,V04-V06,761,0.30504190434490935,0.545335085413929
global_scores,V06-V08,560,0.26905154342173637,0.5464285714285714
global_scores,V04-V08,597,0.22809403998734545,0.5025125628140703
subscores,V04-V06,761,0.3142207812906477,0.7187910643889619
subscores,V06-V08,560,0.23984420973056955,0.6625
subscores,V04-V08,597,0.18432094441782906,0.6214405360134003
augmented_with_imaging,V04-V06,356,0.3579674669849816,0.7443820224719101
augmented_with_imaging,V06-V08,317,0.3125492345314473,0.722397476340694
augmented_with_imaging,V04-V08,319,0.3192068273493688,0.7210031347962382
