feature,real_mean,real_std,gen_mean,gen_std,abs_mean_gap,abs_std_gap
NP3TOT,23.535229,11.586867,23.553421,3.8146973e-06,0.018192291,11.5868635
NP3LGAGL,0.8517902,3.1628144,0.8651776,1.1920929e-07,0.013387382,3.1628141
NP3LGAGR,0.60961765,2.2878122,0.6195565,0.0,0.009938836,2.2878122
NP3TOT_ON,19.34357,8.517575,19.39984,5.722046e-06,0.056268692,8.51757
MSEADLG,89.201904,9.8874445,89.251686,1.5258789e-05,0.0497818,9.887429
NP3TTAPL,1.2066166,2.3505237,1.2050874,2.3841858e-07,0.0015292168,2.3505235
NP3FTAPL,1.252011,3.1850855,1.207199,0.0,0.044811964,3.1850855
NP3BRADY,1.367673,2.2936654,1.3378369,5.9604645e-07,0.029836178,2.293665
NP2PTOT,8.162767,5.822849,8.174298,1.9073486e-06,0.011530876,5.822847
NP3GAIT,0.82179016,0.68310726,0.8141783,2.9802322e-07,0.0076118708,0.68310696
NP3TTAPR,1.0336354,2.332715,1.0535127,1.1920929e-07,0.019877315,2.332715
NP3RISNG,0.325509,2.2500308,0.27116773,8.940697e-08,0.054341286,2.2500308
NP3HMOVL,1.0068058,0.9022759,0.9997754,4.172325e-07,0.007030368,0.9022755
NHY,2.0276291,4.29986,1.8971817,3.5762787e-07,0.13044739,4.2998595
NP3PRSPL,1.0325255,2.341364,0.9753322,5.9604645e-08,0.05719334,2.341364
NP3FACXP,1.2115788,0.7687785,1.2140185,0.0,0.002439618,0.7687785
NP3RIGN,1.6722348,8.897317,1.5728148,1.1920929e-07,0.09941995,8.897317
NP3PSTBL,1.0177028,8.935096,0.92888683,1.1920929e-07,0.08881599,8.935096
NP3POSTR,0.8537374,2.3008106,0.8751849,2.3841858e-07,0.02144748,2.3008103
NP3TOT_OFF,26.624731,8.154367,26.71173,5.722046e-06,0.086997986,8.154362
NP3RIGLU,1.8596948,9.387443,1.7907563,0.0,0.068938494,9.387443
NP3PRSPR,0.93622416,2.3177502,0.8964687,2.3841858e-07,0.039755464,2.31775
NP3RIGLL,1.504161,9.169219,1.4136592,0.0,0.090501785,9.169219
NP2HYGN,0.37848005,0.5776277,0.37356693,8.940697e-08,0.0049131215,0.57762766
NP3FTAPR,1.1169015,0.89088666,1.1084383,2.3841858e-07,0.0084632635,0.8908864
NP2HOBB,0.6648445,0.85077393,0.6620438,2.3841858e-07,0.002800703,0.8507737
NP3RIGRL,1.521238,9.166649,1.4406165,1.1920929e-07,0.08062148,9.166649
NP2DRES,0.6609284,0.71902394,0.6618307,2.3841858e-07,0.0009022951,0.7190237
NP2TURN,0.5291398,0.6943367,0.53122973,5.9604645e-08,0.0020899177,0.69433665
NP2RISE,0.68716323,0.7626272,0.69105405,1.7881393e-07,0.0038908124,0.762627
NP3HMOVR,0.91973686,0.8512373,0.922924,1.7881393e-07,0.00318712,0.8512371
NP3SPCH,0.6840011,0.693194,0.6946451,2.9802322e-07,0.010644019,0.6931937
