feature,real_mean,real_std,gen_mean,gen_std,abs_mean_gap,abs_std_gap
NP3RTCON,1.2940412,1.320756,4.111573,1.4305115e-06,2.817532,1.3207545
NP3TOT,23.535929,11.587091,57.277836,2.2888184e-05,33.741905,11.587069
NP3TOT_ON,19.343847,8.517866,1.9001673,0.0,17.44368,8.517866
NP3RTARU,0.6585054,1.0039961,3.0897677,2.3841858e-07,2.4312623,1.0039959
MSEADLG,89.201904,9.8874445,101.01773,1.5258789e-05,11.815826,9.887429
NP3LGAGR,0.5623681,0.74633306,-0.09619252,2.2351742e-08,0.65856063,0.74633306
NP3LGAGL,0.75896835,0.83124876,-0.09560234,7.450581e-09,0.8545707,0.83124876
NP2PTOT,8.162663,5.8231525,27.673782,7.6293945e-06,19.51112,5.823145
NP3RISNG,0.27872315,0.60029614,3.0652363,7.1525574e-07,2.786513,0.6002954
NP3RTALU,0.53422064,0.8630123,-0.09696644,0.0,0.6311871,0.8630123
NP3GAIT,0.82166874,0.68326867,-0.09278085,2.2351742e-08,0.9144496,0.68326867
NP3TTAPR,0.9873828,0.8975621,-0.09421822,3.7252903e-08,1.081601,0.897562
NP2TRMR,1.1004978,0.7680429,3.086807,0.0,1.9863092,0.7680429
NP3FTAPL,1.1588907,0.95251256,-0.09483529,0.0,1.253726,0.95251256
NP3TTAPL,1.1605403,0.95106,3.093901,1.1920929e-06,1.9333606,0.9510588
NP3BRADY,1.3210409,0.80888516,3.0858667,2.3841858e-07,1.7648258,0.8088849
NP3FACXP,1.2116597,0.769012,3.0852034,1.1920929e-06,1.8735437,0.7690108
NP3TOT_OFF,26.624844,8.154363,56.169117,7.6293945e-06,29.544273,8.154355
NHY,1.8439971,0.5320762,3.0666978,2.1457672e-06,1.2227007,0.53207403
NP3RIGN,0.8830794,0.8687443,3.081114,1.1920929e-06,2.1980348,0.8687431
NP3PRSPR,0.89030695,0.85213697,-0.09589166,0.0,0.9861986,0.85213697
NP3POSTR,0.8072817,0.7992736,3.0845778,2.1457672e-06,2.277296,0.79927146
NP3PRSPL,0.98560816,0.9186476,3.0900357,0.0,2.1044276,0.9186476
NP3HMOVL,1.0064949,0.90193576,-0.093461476,2.9802322e-08,1.0999564,0.9019357
NP2HYGN,0.37849715,0.5774561,2.0634458,0.0,1.6849487,0.5774561
NP3RIGRL,0.67783153,0.84524816,3.0776508,1.4305115e-06,2.3998194,0.84524673
NP3RIGLU,0.9781026,0.856534,3.0792592,2.3841858e-07,2.1011565,0.85653377
NP3HMOVR,0.91974103,0.85076517,-0.09511594,7.450581e-09,1.0148569,0.85076517
NP3RIGLL,0.66132903,0.8555073,-0.09697776,3.7252903e-08,0.7583068,0.85550725
NP2DRES,0.6611892,0.7191724,3.0685022,2.3841858e-07,2.4073129,0.7191722
NP2HOBB,0.6650986,0.85065645,4.0952134,1.9073486e-06,3.4301147,0.85065454
NP3PSTBL,0.22203445,0.627507,-0.09758902,0.0,0.31962347,0.627507
