epoch,train_nll,val_nll,lr,median_grad_norm
1,2268.483739867246,396.0009765625,5.699999999999999e-05,47136.72265625
2,132.5080245398041,156.74905395507812,8.4e-05,852.0203247070312
3,65.2969454887218,67.40849304199219,0.00011099999999999999,180.22276306152344
4,52.37716195816384,51.31159973144531,0.000138,51.055946350097656
5,46.55083258492606,47.349754333496094,0.000165,32.67091369628906
6,42.556245582982115,44.28306198120117,0.00019199999999999998,29.289081573486328
7,39.647315078391166,42.975807189941406,0.00021899999999999998,30.215999603271484
8,37.477812854508706,42.40565490722656,0.000246,28.014114379882812
9,35.761593065763776,43.11487579345703,0.000273,30.66781997680664
10,34.37066642359683,43.76576614379883,0.0003,32.37031936645508
11,33.13051336188065,49.13330841064453,0.0002999089286393548,32.75862503051758
12,32.134323819956386,47.12005615234375,0.00029963582551384367,36.6822624206543
13,30.92875901415832,53.804039001464844,0.0002991810233575568,37.7633056640625
14,29.890683049366885,78.78651428222656,0.0002985450762768647,44.928558349609375
15,29.010158791219382,62.170249938964844,0.00029772875907532504,42.61345291137695
16,28.03647577099334,91.51634979248047,0.00029673306630970386,49.3066291809082
17,27.106927177601293,104.89290618896484,0.00029555921107826135,47.28850555419922
18,26.275595815558184,132.77175903320312,0.00029420862354277857,56.8256950378418
19,25.28297515238138,182.2925567626953,0.00029268294918612537,45.55626678466797
20,24.50271840776716,149.59323120117188,0.0002909840468074932,64.1916732788086
