subtype,feature,real_mean,real_std,gen_mean,gen_std,abs_mean_gap,abs_std_gap
1,NP3TOT,22.911483764648438,11.198697090148926,21.947113037109375,8.481817245483398,0.9643707275390625,2.7168798446655273
1,NP3TOT_ON,19.5598087310791,9.790020942687988,17.63491439819336,9.80057144165039,1.9248943328857422,0.010550498962402344
1,NP3TOT_OFF,27.01913833618164,11.274292945861816,26.475971221923828,10.11095905303955,0.5431671142578125,1.1633338928222656
1,NP3BRADY,1.2535885572433472,0.876486599445343,1.2354657649993896,0.8426472544670105,0.01812279224395752,0.03383934497833252
1,NP3FACXP,1.1866028308868408,0.7786704897880554,1.1288396120071411,0.7653951048851013,0.05776321887969971,0.013275384902954102
1,NP3RIGN,0.8014354109764099,0.8450801968574524,0.8063269257545471,0.8842877149581909,0.004891514778137207,0.039207518100738525
1,NP3HMOVL,0.8492823243141174,0.8549109101295471,0.7682283520698547,0.8406901955604553,0.0810539722442627,0.014220714569091797
1,NP3PRSPL,0.8253588676452637,0.8780295252799988,0.7517746686935425,0.7641240954399109,0.07358419895172119,0.11390542984008789
1,NP3FTAPL,1.0334928035736084,0.9300037622451782,1.0274295806884766,0.9508785009384155,0.006063222885131836,0.020874738693237305
1,NP3RIGLL,0.6411483287811279,0.8128340244293213,0.556504487991333,0.8254072666168213,0.08464384078979492,0.0125732421875
1,NP3RIGLU,0.959330141544342,0.8362433314323425,1.0494986772537231,0.7663809061050415,0.0901685357093811,0.06986242532730103
1,NHY,1.820574164390564,0.46797704696655273,1.8702764511108398,0.4067942798137665,0.04970228672027588,0.061182767152786255
1,NP3LGAGL,0.6076555252075195,0.7540251016616821,0.53750079870224,0.7432159781455994,0.07015472650527954,0.010809123516082764
1,NP3PRSPR,0.739234447479248,0.7834663391113281,0.6771310567855835,0.7374027371406555,0.06210339069366455,0.04606360197067261
1,NP3TTAPL,1.141148328781128,0.9416876435279846,1.1393660306930542,0.9969038367271423,0.0017822980880737305,0.055216193199157715
1,NHY_ON,1.7822966575622559,0.46707117557525635,1.8263752460479736,0.40159106254577637,0.04407858848571777,0.06548011302947998
1,NP3FTAPR,0.9736841917037964,0.8165608048439026,0.9538795948028564,0.7332887649536133,0.01980459690093994,0.0832720398902893
1,NP3RIGRU,1.045454502105713,0.8417007327079773,1.072333574295044,0.8308975100517273,0.026879072189331055,0.01080322265625
1,NP3POSTR,0.779904305934906,0.8063016533851624,0.7452021837234497,0.7836644053459167,0.0347021222114563,0.022637248039245605
1,NP3HMOVR,0.7440191507339478,0.7634128332138062,0.6785982847213745,0.6923609375953674,0.06542086601257324,0.07105189561843872
1,NP3TTAPR,0.8588516712188721,0.8840320110321045,0.7420341968536377,0.8655394911766052,0.11681747436523438,0.018492519855499268
1,NP3SPCH,0.5909090638160706,0.6653514504432678,0.5291531085968018,0.6506108045578003,0.0617559552192688,0.01474064588546753
1,NP3LGAGR,0.4449760913848877,0.6400405168533325,0.4000051021575928,0.6110508441925049,0.04497098922729492,0.028989672660827637
1,NP3RISNG,0.18899521231651306,0.4265959858894348,0.14737118780612946,0.38103023171424866,0.041624024510383606,0.04556575417518616
1,NHY_OFF,1.8612439632415771,0.45346131920814514,1.8936152458190918,0.3147175908088684,0.03237128257751465,0.13874372839927673
1,NP3RIGRL,0.6411483287811279,0.8274192810058594,0.5780313611030579,0.8305201530456543,0.06311696767807007,0.003100872039794922
1,NP2PTOT,7.880382537841797,4.9606146812438965,7.9766082763671875,5.785211563110352,0.09622573852539062,0.8245968818664551
1,NP3GAIT,0.7416267991065979,0.6110930442810059,0.7295365929603577,0.5488138794898987,0.012090206146240234,0.06227916479110718
1,NP3RTCON,1.7894736528396606,1.246501088142395,1.3068996667861938,1.3353644609451294,0.4825739860534668,0.08886337280273438
1,MSEADLG,88.18181610107422,9.211520195007324,88.07098388671875,8.806838035583496,0.11083221435546875,0.4046821594238281
1,NP3PSTBL,0.16746412217617035,0.5452657341957092,0.11012786626815796,0.31095317006111145,0.05733625590801239,0.23431256413459778
1,NP3PTRMR,0.4186602830886841,0.6593719720840454,0.37042853236198425,0.6846912503242493,0.04823175072669983,0.025319278240203857
2,NP3TOT,19.225000381469727,10.77291202545166,18.687652587890625,7.476712703704834,0.5373477935791016,3.296199321746826
2,NP3TOT_ON,16.662500381469727,9.832908630371094,15.992788314819336,7.796747207641602,0.6697120666503906,2.036161422729492
2,NP3TOT_OFF,24.024999618530273,11.277438163757324,23.588115692138672,8.759471893310547,0.43688392639160156,2.5179662704467773
2,NP3BRADY,1.25,0.8215838670730591,1.111965537071228,0.7290611863136292,0.13803446292877197,0.09252268075942993
2,NP3FACXP,1.1437499523162842,0.7814000248908997,1.1459810733795166,0.7408373355865479,0.002231121063232422,0.04056268930435181
2,NP3RIGN,0.8218749761581421,0.834503710269928,0.819572925567627,0.8345869183540344,0.0023020505905151367,8.320808410644531e-05
2,NP3HMOVL,0.921875,0.8927606344223022,0.8533645868301392,0.9290266633033752,0.06851041316986084,0.036266028881073
2,NP3PRSPL,0.856249988079071,0.8721157908439636,0.8571456670761108,0.865486204624176,0.0008956789970397949,0.006629586219787598
2,NP3FTAPL,1.1375000476837158,0.945300817489624,1.1145013570785522,0.9412136673927307,0.022998690605163574,0.0040871500968933105
2,NP3RIGLL,0.7250000238418579,0.8474225997924805,0.8189665079116821,0.8012720346450806,0.09396648406982422,0.0461505651473999
2,NP3RIGLU,0.840624988079071,0.8117724657058716,0.8823060989379883,0.7815052270889282,0.041681110858917236,0.03026723861694336
2,NHY,1.806249976158142,0.5123093724250793,1.8449389934539795,0.4145299196243286,0.0386890172958374,0.09777945280075073
2,NP3LGAGL,0.7593749761581421,0.791501522064209,0.7034553289413452,0.7409535050392151,0.055919647216796875,0.050548017024993896
2,NP3PRSPR,0.6656249761581421,0.7185530066490173,0.6212083101272583,0.7327937483787537,0.04441666603088379,0.014240741729736328
2,NP3TTAPL,1.1281249523162842,0.941652238368988,1.1708465814590454,0.8739776611328125,0.04272162914276123,0.06767457723617554
2,NHY_ON,1.7531249523162842,0.534722089767456,1.8457481861114502,0.4510764181613922,0.09262323379516602,0.08364567160606384
2,NP3FTAPR,0.9937499761581421,0.9320465922355652,0.9151704907417297,0.9244286417961121,0.07857948541641235,0.007617950439453125
2,NP3RIGRU,0.909375011920929,0.7952434420585632,0.8617192506790161,0.7380523681640625,0.04765576124191284,0.05719107389450073
2,NP3POSTR,0.7593749761581421,0.791501522064209,0.7545292973518372,0.7964388728141785,0.004845678806304932,0.004937350749969482
2,NP3HMOVR,0.78125,0.7958633303642273,0.7646368145942688,0.7076243758201599,0.0166131854057312,0.08823895454406738
2,NP3TTAPR,0.903124988079071,0.8253727555274963,0.8275575637817383,0.8989399075508118,0.07556742429733276,0.07356715202331543
2,NP3SPCH,0.690625011920929,0.6945589184761047,0.579818844795227,0.7351367473602295,0.1108061671257019,0.040577828884124756
2,NP3LGAGR,0.559374988079071,0.7134245038032532,0.4970833659172058,0.6680712699890137,0.062291622161865234,0.0453532338142395
2,NP3RISNG,0.31562501192092896,0.6253045797348022,0.23077043890953064,0.40691232681274414,0.08485457301139832,0.2183922529220581
2,NHY_OFF,1.8718750476837158,0.5412569046020508,1.8709090948104858,0.42957577109336853,0.0009659528732299805,0.11168113350868225
2,NP3RIGRL,0.762499988079071,0.8731229901313782,0.7259767055511475,0.9173510074615479,0.036523282527923584,0.04422801733016968
2,NP2PTOT,8.506250381469727,6.075048446655273,8.539390563964844,5.2270636558532715,0.03314018249511719,0.847984790802002
2,NP3GAIT,0.824999988079071,0.7462405562400818,0.8014340400695801,0.7117420434951782,0.023565948009490967,0.034498512744903564
2,NP3RTCON,0.19687500596046448,0.5606828331947327,0.4819687008857727,0.9200024008750916,0.2850936949253082,0.3593195676803589
2,MSEADLG,87.5,9.842510223388672,88.45625305175781,8.748416900634766,0.9562530517578125,1.0940933227539062
2,NP3PSTBL,0.28437501192092896,0.6780529618263245,0.16340374946594238,0.48189595341682434,0.12097126245498657,0.19615700840950012
2,NP3PTRMR,0.13124999403953552,0.35570135712623596,0.16016124188899994,0.4039439260959625,0.028911247849464417,0.04824256896972656
3,NP3TOT,37.032257080078125,13.67475700378418,24.141376495361328,13.18355655670166,12.890880584716797,0.49120044708251953
3,NP3TOT_ON,32.344085693359375,12.980957984924316,19.786392211914062,14.10141658782959,12.557693481445312,1.1204586029052734
3,NP3TOT_OFF,41.978492736816406,12.538952827453613,30.263450622558594,12.981966018676758,11.715042114257812,0.44301319122314453
3,NP3BRADY,1.774193525314331,0.9630711674690247,1.3359308242797852,0.8726207613945007,0.4382627010345459,0.09045040607452393
3,NP3FACXP,1.6774193048477173,0.9522050619125366,1.3483227491378784,1.2607612609863281,0.32909655570983887,0.3085561990737915
3,NP3RIGN,1.5376343727111816,1.0006357431411743,1.5263205766677856,2.5608150959014893,0.011313796043395996,1.560179352760315
3,NP3HMOVL,1.6344085931777954,1.013722538948059,1.0839505195617676,1.3618100881576538,0.5504580736160278,0.3480875492095947
3,NP3PRSPL,1.5591397285461426,1.041735291481018,0.6744617819786072,5.572065830230713,0.8846779465675354,4.530330657958984
3,NP3FTAPL,1.7526881694793701,0.9799705147743225,1.3014084100723267,1.513791561126709,0.45127975940704346,0.5338210463523865
3,NP3RIGLL,1.4408602714538574,0.9887797236442566,0.4535999596118927,1.6012836694717407,0.9872603416442871,0.6125039458274841
3,NP3RIGLU,1.4838709831237793,0.9229790568351746,1.044365644454956,0.7618299126625061,0.43950533866882324,0.16114914417266846
3,NHY,2.24731183052063,0.6824358105659485,2.1544129848480225,0.9632042646408081,0.09289884567260742,0.2807684540748596
3,NP3LGAGL,1.4731183052062988,1.0735468864440918,1.263721227645874,1.6598036289215088,0.2093970775604248,0.586256742477417
3,NP3PRSPR,1.225806474685669,0.8691737651824951,0.6849223971366882,0.961807370185852,0.5408840775489807,0.09263360500335693
3,NP3TTAPL,1.8602150678634644,1.0735470056533813,1.3696247339248657,1.2489123344421387,0.49059033393859863,0.17536532878875732
3,NHY_ON,2.182795763015747,0.6036847233772278,1.9595909118652344,0.7984000444412231,0.2232048511505127,0.19471532106399536
3,NP3FTAPR,1.5268816947937012,0.9110007882118225,1.018129825592041,1.0603662729263306,0.5087518692016602,0.14936548471450806
3,NP3RIGRU,1.419354796409607,0.8838160037994385,1.2529906034469604,1.0721303224563599,0.16636419296264648,0.1883143186569214
3,NP3POSTR,1.419354796409607,0.9652296304702759,1.0066471099853516,1.6102235317230225,0.41270768642425537,0.6449939012527466
3,NP3HMOVR,1.2473118305206299,0.8998914361000061,0.2298850566148758,1.8667571544647217,1.0174267292022705,0.9668657183647156
3,NP3TTAPR,1.580645203590393,1.0808457136154175,1.0116702318191528,1.6162351369857788,0.5689749717712402,0.5353894233703613
3,NP3SPCH,1.0537633895874023,0.9317066669464111,0.21965350210666656,1.3303706645965576,0.834109902381897,0.3986639976501465
