epoch,train_nll,val_nll,lr,grad_norm
1,45.38569532121931,44.73694038391113,5.6999999999999996e-05,11.310529504503522
2,44.845999581473215,44.22025489807129,8.4e-05,9.477563313075475
3,44.099736894880024,43.45536994934082,0.00011099999999999999,9.405269350324359
4,43.12883922031948,42.525962829589844,0.00013800000000000002,9.085193225315638
5,42.19258281162807,41.78096008300781,0.000165,8.935696533748082
6,41.47679138183594,41.05302810668945,0.00019199999999999998,8.906344209398542
7,40.58195005144392,39.960981369018555,0.00021899999999999998,9.51057175227574
8,39.45802743094308,38.71649742126465,0.000246,10.887617928641182
9,38.66325160435268,37.85661315917969,0.00027299999999999997,15.834271567208427
10,37.84806769234793,37.01567077636719,0.0003,17.738163811819895
11,36.93236868722098,36.33624267578125,0.0003,18.20614664895194
12,36.98071071079799,37.880889892578125,0.00029997956409637407,391.7228295462472
13,38.479156494140625,36.166086196899414,0.00029991826197246844,1267.3914484296527
14,36.05239813668387,35.80148506164551,0.00029981611038767156,316.1192250932966
15,35.803284236363005,35.54157638549805,0.00029967313726920677,282.14503533499584
16,35.49686704363142,35.27590560913086,0.0002994893817044971,173.9561367034912
17,35.39483642578125,36.18420600891113,0.0002992648939304792,263.9910420009068
18,35.910801478794646,35.21076774597168,0.0002989997353198689,620.3745400565011
19,35.23693030221121,35.0379581451416,0.0002986939783643828,140.06760134015764
20,34.98309980119978,34.9292106628418,0.0002983477066549195,135.48937034606934
21,34.89812251499721,34.906484603881836,0.00029796101485870695,159.01976885114397
22,34.806579044886995,34.759464263916016,0.0002975340086934211,198.14621816362654
23,34.697401319231304,34.67130088806152,0.00029706680489828395,123.40271050589425
24,35.51865986415318,35.75189971923828,0.0002965595312021481,370.5629370553153
25,35.12664467947824,35.05933952331543,0.00029601232628857684,180.05565125601632
26,35.02523531232561,34.57232093811035,0.0002954253397579299,326.29745701381137
27,35.16792951311384,35.01564407348633,0.0002947987320864636,328.66089957101
28,34.60480989728655,34.8035831451416,0.0002941326745824588,137.0578839438302
29,34.801836831229075,34.13102912902832,0.00029342734933938643,204.51596341814314
30,34.26491928100586,34.093685150146484,0.0002926829491861255,91.34452547345843
31,34.035792214529856,33.921648025512695,0.00029189967763424486,153.68364007132394
32,34.05381066458566,33.787405014038086,0.0002910777488223661,339.93890162876676
33,34.09705189296177,33.776222229003906,0.0002902173874576194,459.1879893711635
34,33.634832109723774,33.540571212768555,0.0002893188287542112,148.1030000959124
35,33.50645010811942,33.623971939086914,0.000288382318369119,112.69418770926339
36,33.40454537527902,33.53410720825195,0.000287408112334931,264.1348882402693
37,33.31341879708426,33.16494941711426,0.00028639647698984976,286.9713439941406
38,33.12880434308733,33.17934036254883,0.00028534768890487735,198.12007631574357
39,33.21821539742606,33.549089431762695,0.0002842620348082041,277.1306141444615
40,33.36376735142299,33.03398895263672,0.0002831398115068199,421.9177804674421
41,32.84048407418387,32.877201080322266,0.0002819813258053701,165.76871708461218
42,32.695254462105886,32.93950653076172,0.00028078689442227793,198.59583336966378
43,32.55659975324358,32.6229248046875,0.00027955684390315724,202.3096705845424
44,32.328212193080354,32.52286148071289,0.00027829151053153806,193.95043727329798
45,32.106821060180664,32.45064735412598,0.00027699124023692983,199.03426252092635
46,32.00733402797154,32.23211193084717,0.000275656388500248,223.12810843331474
47,31.77786145891462,32.184288024902344,0.00027428732025662895,186.64387948172433
48,31.66172981262207,32.21659851074219,0.0002728844097956605,210.4987509591239
